,layers,neurons,batch_size,learning_rate_init,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
264,2.164360145,25.51917752,1.0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,257.36749333159133,111509.58961500235,0.4492295043900931,0.10704233084756132,260.82630320461146,112869.5572589322,0.3872051319163736,0.09646659885374065,244.34011964041315,97029.01533391375,0.4632812772479713,0.05252854967338971
265,4.035992312,30.54403924,1024.0,0.046882247,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.61355586394969,13285.099548589575,0.9702736031078947,0.8936142481707186,67.93036368701573,15662.10047172029,0.9668328658136801,0.8746231379658577,71.40023098478595,16798.72184616891,0.9540812499791005,0.8359634043852873
266,1.0,10.0,1.0,0.003838093,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.66604128255416,28844.38688707314,0.9305905614571058,0.7690170273988103,98.06023292305697,28071.191832085773,0.9315341075668896,0.7752869768764299,104.7614697115741,34187.39602461261,0.906920412755933,0.6661660269058884
267,5.132358895,50.0,484.6498709,0.059497247,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,67.44321489061994,15403.857343592825,0.9667953940621694,0.8766474471210793,66.54262074064623,15335.066001922492,0.9687810591505649,0.8772410853908715,71.55743437235577,16597.71010679992,0.955929743004916,0.8379262490413645
268,3.306746947,29.69203735,469.3256071,0.042537056,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73.90153320109202,18572.33146535919,0.9579339009047163,0.8512746224491314,68.95992029186819,16636.27556595291,0.9630285509267571,0.8668247576268198,74.40142119601639,19004.26113248083,0.9485367075175369,0.8144266970492098
269,2.427495479,48.75693234,336.0914621,0.04116564,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,57.26394458201257,12108.281763503599,0.9738745491230195,0.9030380875913071,61.27797875016754,13268.8054345534,0.9718928239114739,0.8937817318098744,67.98820959703814,15330.44829355093,0.9597636787510582,0.8503008401264178
270,7.0,50.0,717.1317836,0.029737515,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,59.508352798415565,13276.98892845223,0.9713381450815665,0.893679197207642,65.44659394723575,15196.634594187219,0.9682595956683413,0.8783492442575673,71.77105390752091,17423.44126639343,0.9539551787174643,0.8298631279567328
271,4.279189638,39.61734306,765.0,0.033046843,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,57.36543481965759,12356.524711022697,0.9741795589217029,0.9010501828329314,58.29131584284895,12826.284788096302,0.9727241084192328,0.897324158966327,68.19782738150333,15703.872110710068,0.9601010322129916,0.8466544215328387
272,5.167385414,44.95543698,571.7848022,0.039948611,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68.04210869525423,16419.267229665034,0.9647827422219921,0.8685161460533244,68.57901729298906,16224.533770766095,0.9644780542029718,0.8701207966441941,76.39350156415668,19652.377936507022,0.9484192761786651,0.8080979492393048
273,3.173126701,38.05773879,565.0,0.06943029,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,58.989491517855335,13148.74870077399,0.9710887966642143,0.8947061321573132,64.48159754898565,14994.085011845218,0.9689194420169316,0.8799706762670363,69.7332232197034,16683.13144494023,0.9551134295956923,0.8370921245389349
274,3.767328199,35.80791544,464.6404703,0.062615547,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98.06867476369932,31170.494707000318,0.9230113796008889,0.7503897880353539,93.6749669753758,28296.107048024387,0.9303330716765976,0.7734865054742044,101.8421131074607,33179.37063153216,0.9077778434608408,0.6760092194587677
275,5.000231503,44.90706425,683.0707047,0.011628454,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,54.3831716398586,11314.418017907545,0.9759753571660423,0.9093952692681438,60.5447714663361,13315.512568214981,0.9718009627777637,0.893407835992792,62.36501397642995,13772.179394980294,0.96438481699309,0.8655170647603241
